Match %,Title,Company,Location,Apply URL,LinkedIn Contacts,Applied,Status,Notes
36%,Senior Independent AI Engineer / Architect,A.Team,Remote,https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266,https://www.linkedin.com/search/results/people/?keywords=Senior%20Independent%20AI%20Engineer%20/%20Architect%20A.Team&origin=GLOBAL_SEARCH_HEADER,,,
35%,AI Automation Engineer Tech Lead,Myriad360,Remote,https://remoteOK.com/remote-jobs/remote-ai-automation-engineer-tech-lead-myriad360-1130056,https://www.linkedin.com/search/results/people/?keywords=AI%20Automation%20Engineer%20Tech%20Lead%20Myriad360&origin=GLOBAL_SEARCH_HEADER,,,
35%,Senior Independent Software Developer,A.Team,Remote,https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265,https://www.linkedin.com/search/results/people/?keywords=Senior%20Independent%20Software%20Developer%20A.Team&origin=GLOBAL_SEARCH_HEADER,,,
35%,🇫🇷 Senior Site Reliability Engineer (SRE) - Cloud,Scalingo,Remote,https://remotive.com/remote-jobs/devops/senior-site-reliability-engineer-sre-cloud-2088536,https://www.linkedin.com/search/results/people/?keywords=%F0%9F%87%AB%F0%9F%87%B7%20Senior%20Site%20Reliability%20Engineer%20%28SRE%29%20-%20Cloud%20Scalingo&origin=GLOBAL_SEARCH_HEADER,,,
35%,"Software Engineer (Go), Storage Platform",Wolt - English,"Berlin, Berlin, Germany",https://www.arbeitnow.com/jobs/companies/wolt-english/software-engineer-go-storage-platform-berlin-169011,https://www.linkedin.com/search/results/people/?keywords=Software%20Engineer%20%28Go%29%2C%20Storage%20Platform%20Wolt%20-%20English&origin=GLOBAL_SEARCH_HEADER,,,
34%,Senior Cloud Software Engineer Assist,Stack AV,Remote,https://remoteOK.com/remote-jobs/remote-senior-cloud-software-engineer-assist-stack-av-1130119,https://www.linkedin.com/search/results/people/?keywords=Senior%20Cloud%20Software%20Engineer%20Assist%20Stack%20AV&origin=GLOBAL_SEARCH_HEADER,,,
34%,Systems Engineer Enterprise Middleware,Spry Methods,Remote,https://remoteOK.com/remote-jobs/remote-systems-engineer-enterprise-middleware-spry-methods-1130075,https://www.linkedin.com/search/results/people/?keywords=Systems%20Engineer%20Enterprise%20Middleware%20Spry%20Methods&origin=GLOBAL_SEARCH_HEADER,,,
34%,Senior Python Software Engineer,Bloomreach,Remote,https://remoteOK.com/remote-jobs/remote-senior-python-software-engineer-bloomreach-1130047,https://www.linkedin.com/search/results/people/?keywords=Senior%20Python%20Software%20Engineer%20Bloomreach&origin=GLOBAL_SEARCH_HEADER,,,
34%,"Site Reliability Engineer (Go), Storage Platform",Wolt - English,"Berlin, Berlin, Germany",https://www.arbeitnow.com/jobs/companies/wolt-english/site-reliability-engineer-go-storage-platform-berlin-148512,https://www.linkedin.com/search/results/people/?keywords=Site%20Reliability%20Engineer%20%28Go%29%2C%20Storage%20Platform%20Wolt%20-%20English&origin=GLOBAL_SEARCH_HEADER,,,
32%,Senior Full Stack AI Engineer,AskVinny,Remote,https://remoteOK.com/remote-jobs/remote-senior-full-stack-ai-engineer-askvinny-1130110,https://www.linkedin.com/search/results/people/?keywords=Senior%20Full%20Stack%20AI%20Engineer%20AskVinny&origin=GLOBAL_SEARCH_HEADER,,,
32%,Senior Angular Software Engineer,Aiwyn,Remote,https://remoteOK.com/remote-jobs/remote-senior-angular-software-engineer-aiwyn-1130082,https://www.linkedin.com/search/results/people/?keywords=Senior%20Angular%20Software%20Engineer%20Aiwyn&origin=GLOBAL_SEARCH_HEADER,,,
31%,GenAI Security Engineer,Point72,Remote,https://remoteOK.com/remote-jobs/remote-genai-security-engineer-point72-1130087,https://www.linkedin.com/search/results/people/?keywords=GenAI%20Security%20Engineer%20Point72&origin=GLOBAL_SEARCH_HEADER,,,
30%,UI Developer R01560583,Brillio,Remote,https://remoteOK.com/remote-jobs/remote-ui-developer-r01560583-brillio-1130131,https://www.linkedin.com/search/results/people/?keywords=UI%20Developer%20R01560583%20Brillio&origin=GLOBAL_SEARCH_HEADER,,,
30%,Solutions Engineer,Gather AI,Remote,https://remoteOK.com/remote-jobs/remote-solutions-engineer-gather-ai-1130095,https://www.linkedin.com/search/results/people/?keywords=Solutions%20Engineer%20Gather%20AI&origin=GLOBAL_SEARCH_HEADER,,,
30%,iOS Developer,nooro,Remote,https://remotive.com/remote-jobs/software-development/ios-developer-1956455,https://www.linkedin.com/search/results/people/?keywords=iOS%20Developer%20nooro&origin=GLOBAL_SEARCH_HEADER,,,
29%,Security Engineer ISSO,Accenture Federal Services,Remote,https://remoteOK.com/remote-jobs/remote-security-engineer-isso-accenture-federal-services-1130089,https://www.linkedin.com/search/results/people/?keywords=Security%20Engineer%20ISSO%20Accenture%20Federal%20Services&origin=GLOBAL_SEARCH_HEADER,,,
29%,Platform Architect .NET Full stack,Ubiminds,Remote,https://remoteOK.com/remote-jobs/remote-platform-architect-net-full-stack-ubiminds-1130069,https://www.linkedin.com/search/results/people/?keywords=Platform%20Architect%20.NET%20Full%20stack%20Ubiminds&origin=GLOBAL_SEARCH_HEADER,,,
28%,QA Analyst,Proof of Play,Remote,https://remoteOK.com/remote-jobs/remote-qa-analyst-proof-of-play-1130098,https://www.linkedin.com/search/results/people/?keywords=QA%20Analyst%20Proof%20of%20Play&origin=GLOBAL_SEARCH_HEADER,,,
28%,Software Development Engineer Test Brazil,Platform Science,Remote,https://remoteOK.com/remote-jobs/remote-software-development-engineer-test-brazil-platform-science-1130073,https://www.linkedin.com/search/results/people/?keywords=Software%20Development%20Engineer%20Test%20Brazil%20Platform%20Science&origin=GLOBAL_SEARCH_HEADER,,,
27%,Solution CAD Engineer III,Unlimited Technology,Remote,https://remoteOK.com/remote-jobs/remote-solution-cad-engineer-iii-unlimited-technology-1130121,https://www.linkedin.com/search/results/people/?keywords=Solution%20CAD%20Engineer%20III%20Unlimited%20Technology&origin=GLOBAL_SEARCH_HEADER,,,
27%,Web Developer,Epoch AI,Remote,https://remoteOK.com/remote-jobs/remote-web-developer-epoch-ai-1130118,https://www.linkedin.com/search/results/people/?keywords=Web%20Developer%20Epoch%20AI&origin=GLOBAL_SEARCH_HEADER,,,
26%,Technical Support Engineer Singapore,Dataiku,Remote,https://remoteOK.com/remote-jobs/remote-technical-support-engineer-singapore-dataiku-1130133,https://www.linkedin.com/search/results/people/?keywords=Technical%20Support%20Engineer%20Singapore%20Dataiku&origin=GLOBAL_SEARCH_HEADER,,,
26%,GTM Automation Engineer,Postscript,Remote,https://remoteOK.com/remote-jobs/remote-gtm-automation-engineer-postscript-1130114,https://www.linkedin.com/search/results/people/?keywords=GTM%20Automation%20Engineer%20Postscript&origin=GLOBAL_SEARCH_HEADER,,,
25%,Systems Engineer,GOAT Group,Remote,https://remoteOK.com/remote-jobs/remote-systems-engineer-goat-group-1130115,https://www.linkedin.com/search/results/people/?keywords=Systems%20Engineer%20GOAT%20Group&origin=GLOBAL_SEARCH_HEADER,,,
25%,Software Engineer,OneStudyTeam,Remote,https://remoteOK.com/remote-jobs/remote-software-engineer-onestudyteam-1130036,https://www.linkedin.com/search/results/people/?keywords=Software%20Engineer%20OneStudyTeam&origin=GLOBAL_SEARCH_HEADER,,,
